,word,frequency,per_million,doc_freq,doc_percentage
3628,shoot,15,5.257111294447999,14.0,0.1689596910451364
3629,kenya,15,5.257111294447999,9.0,0.10861694424330197
3630,condo,15,5.257111294447999,12.0,0.1448225923244026
3634,mixture,15,5.257111294447999,15.0,0.18102824040550325
3636,distributor,15,5.257111294447999,13.0,0.1568911416847695
3642,sensation,15,5.257111294447999,13.0,0.1568911416847695
3648,translator,15,5.257111294447999,5.0,0.060342746801834414
3649,disturbance,15,5.257111294447999,14.0,0.1689596910451364
3651,tongue,15,5.257111294447999,13.0,0.1568911416847695
3654,helm,15,5.257111294447999,15.0,0.18102824040550325
3655,hijab,15,5.257111294447999,10.0,0.12068549360366886
3657,mediation,15,5.257111294447999,12.0,0.1448225923244026
3658,fta,15,5.257111294447999,7.0,0.0844798455225682
3660,primary,15,5.257111294447999,12.0,0.1448225923244026
3663,globalization,15,5.257111294447999,11.0,0.13275404296403573
3664,coconut,15,5.257111294447999,7.0,0.0844798455225682
3665,depot,15,5.257111294447999,13.0,0.1568911416847695
3666,cove,15,5.257111294447999,2.0,0.02413709872073377
3667,diligence,15,5.257111294447999,12.0,0.1448225923244026
3668,dw,15,5.257111294447999,14.0,0.1689596910451364
3671,rabbi,15,5.257111294447999,10.0,0.12068549360366886
3673,nhl,14,4.906637208151467,7.0,0.0844798455225682
3674,lump,14,4.906637208151467,9.0,0.10861694424330197
3676,meadow,14,4.906637208151467,6.0,0.0724112961622013
3677,lopez,14,4.906637208151467,12.0,0.1448225923244026
3681,vigilance,14,4.906637208151467,14.0,0.1689596910451364
3682,congregation,14,4.906637208151467,14.0,0.1689596910451364
3683,roy,14,4.906637208151467,10.0,0.12068549360366886
3684,bet,14,4.906637208151467,12.0,0.1448225923244026
3687,vault,14,4.906637208151467,6.0,0.0724112961622013
3688,hire,14,4.906637208151467,10.0,0.12068549360366886
3691,z,14,4.906637208151467,14.0,0.1689596910451364
3696,tumor,14,4.906637208151467,8.0,0.09654839488293508
3697,hail,14,4.906637208151467,11.0,0.13275404296403573
3698,sanctuary,14,4.906637208151467,12.0,0.1448225923244026
3699,exclusion,14,4.906637208151467,12.0,0.1448225923244026
3703,buddha,14,4.906637208151467,13.0,0.1568911416847695
3705,retreat,14,4.906637208151467,13.0,0.1568911416847695
3707,hashtag,14,4.906637208151467,13.0,0.1568911416847695
3708,supremacist,14,4.906637208151467,12.0,0.1448225923244026
3709,philosophy,14,4.906637208151467,13.0,0.1568911416847695
3710,simulator,14,4.906637208151467,6.0,0.0724112961622013
3711,gamble,14,4.906637208151467,9.0,0.10861694424330197
3712,attachment,14,4.906637208151467,14.0,0.1689596910451364
3718,treat,14,4.906637208151467,10.0,0.12068549360366886
3719,tandem,14,4.906637208151467,13.0,0.1568911416847695
3720,fiance,14,4.906637208151467,14.0,0.1689596910451364
3721,chase,14,4.906637208151467,7.0,0.0844798455225682
3722,dark,14,4.906637208151467,12.0,0.1448225923244026
3723,boot,14,4.906637208151467,13.0,0.1568911416847695
3724,equation,14,4.906637208151467,13.0,0.1568911416847695
3727,filing,14,4.906637208151467,11.0,0.13275404296403573
3735,taker,14,4.906637208151467,6.0,0.0724112961622013
3736,youngster,14,4.906637208151467,9.0,0.10861694424330197
3738,gps,14,4.906637208151467,14.0,0.1689596910451364
