,word,frequency,per_million,doc_freq,doc_percentage
184,act,352,123.36687837637973,307.0,3.705044653632634
186,charge,350,122.66593020378666,233.0,2.8119720009654836
188,promise,349,122.31545611749014,322.0,3.8860728940381364
190,identify,348,121.9649820311936,286.0,3.4516051170649287
191,control,347,121.61450794489706,296.0,3.5722906106685977
192,struggle,346,121.26403385860053,306.0,3.692976104272266
193,impose,346,121.26403385860053,285.0,3.439536567704562
202,fire,327,114.6050262189664,235.0,2.8361090996862184
204,demand,323,113.20312987378027,276.0,3.3309196234612597
205,rule,323,113.20312987378027,261.0,3.149891383055756
207,deny,321,112.50218170118721,282.0,3.4033309196234613
210,contain,313,109.69838901081492,280.0,3.3791938209027275
212,emerge,311,108.99744083822185,284.0,3.4274680183441952
215,investigate,303,106.1936481478496,263.0,3.1740284817764906
218,cancel,301,105.49269997525651,220.0,2.6550808592807145
219,ban,300,105.14222588896,231.0,2.78783490224475
220,burn,299,104.79175180266348,203.0,2.4499155201544776
222,declare,296,103.74032954377388,257.0,3.1016171856142893
227,maintain,290,101.63748502599466,257.0,3.1016171856142893
228,recognize,289,101.28701093969812,243.0,2.9326574945691526
233,lift,281,98.48321824932587,237.0,2.8602461984069514
236,secure,279,97.78227007673279,245.0,2.9567945932898865
238,engage,273,95.6794255589536,241.0,2.908520395848419
241,suppose,269,94.2775292137675,240.0,2.896451846488052
242,present,267,93.5765810411744,237.0,2.8602461984069514
243,evacuate,266,93.22610695487785,191.0,2.3050929278300747
244,flee,265,92.87563286858132,219.0,2.6430123099203477
245,promote,265,92.87563286858132,230.0,2.775766352884383
247,form,264,92.52515878228479,221.0,2.667149408641081
251,back,254,89.02041791931947,224.0,2.7033550567221822
252,prove,253,88.66994383302294,223.0,2.691286507361815
257,commit,245,85.86615114265065,217.0,2.6188752111996143
258,deploy,243,85.16520297005759,198.0,2.389572773352643
259,experience,241,84.46425479746453,214.0,2.5826695631185133
261,boost,238,83.41283253857492,211.0,2.546463915037412
263,limit,234,82.0109361933888,213.0,2.5706010137581456
266,strengthen,232,81.30998802079574,201.0,2.425778421433744
267,block,232,81.30998802079574,190.0,2.293024378469708
268,allege,231,80.95951393449921,189.0,2.280955829109341
270,connect,229,80.25856576190613,201.0,2.425778421433744
271,last,229,80.25856576190613,213.0,2.5706010137581456
272,restore,229,80.25856576190613,194.0,2.3412985759111757
275,host,225,78.85666941672,178.0,2.148201786145305
277,resume,224,78.50619533042347,190.0,2.293024378469708
278,ease,223,78.15572124412694,193.0,2.329230026550809
279,link,222,77.80524715783041,198.0,2.389572773352643
282,fear,220,77.1042989852373,200.0,2.4137098720733765
283,estimate,219,76.7538248989408,201.0,2.425778421433744
285,stick,217,76.05287672634772,182.0,2.1964759835867733
286,tackle,217,76.05287672634772,197.0,2.3775042239922763
288,schedule,215,75.35192855375469,203.0,2.4499155201544776
289,track,215,75.35192855375469,195.0,2.3533671252715425
292,concern,213,74.65098038116159,199.0,2.40164132271301
293,detect,213,74.65098038116159,160.0,1.9309678976587008
294,implement,213,74.65098038116159,185.0,2.232681631667873
295,protest,212,74.30050629486506,178.0,2.148201786145305
296,surround,210,73.599558122272,198.0,2.389572773352643
297,place,209,73.24908403597546,193.0,2.329230026550809
299,regard,205,71.84718769078934,186.0,2.2447501810282406
301,infect,204,71.4967136044928,165.0,1.991310644460536
302,roll,203,71.14623951819627,191.0,2.3050929278300747
303,own,203,71.14623951819627,179.0,2.1602703355056723
304,detain,202,70.79576543189974,151.0,1.8223509534153997
306,strike,200,70.09481725930667,177.0,2.1361332367849384
307,register,199,69.74434317301012,149.0,1.7982138546946655
309,insist,196,68.69292091412052,186.0,2.2447501810282406
310,participate,196,68.69292091412052,166.0,2.0033791938209027
312,administer,196,68.69292091412052,161.0,1.9430364470190684
314,impact,195,68.342446827824,171.0,2.0637219406227367
315,lay,194,67.99197274152748,180.0,2.172338884866039
317,update,192,67.2910245689344,183.0,2.20854453294714
318,name,191,66.94055048263786,165.0,1.991310644460536
320,monitor,191,66.94055048263786,176.0,2.124064687424572
322,contribute,190,66.59007639634132,168.0,2.027516292541637
323,gain,185,64.83770596485866,173.0,2.087859039343471
325,determine,181,63.43580961967254,166.0,2.0033791938209027
327,locate,181,63.43580961967254,167.0,2.01544774318127
