word,frequency,per_million,doc_freq,doc_percentage
shot,857,300.3562919561291,480.0,5.792903692976104
development,855,299.655343783536,652.0,7.868694182959208
restriction,854,299.30486969723944,575.0,6.939415882210959
market,839,294.04775840279143,466.0,5.623944001930968
patient,835,292.6458620576053,418.0,5.0446536326333575
rate,833,291.9449138850122,554.0,6.685976345643254
night,831,291.2439657124192,622.0,7.506637702148201
other,831,291.2439657124192,746.0,9.003137822833695
expert,825,289.14112119464,633.0,7.639391745112238
line,825,289.14112119464,665.0,8.025585324643977
crisis,825,289.14112119464,583.0,7.0359642770938935
app,824,288.7906471083435,706.0,8.52039584841902
administration,820,287.38875076315736,546.0,6.589427950760318
air,816,285.9868544179712,522.0,6.2997827661115124
action,815,285.6363803316747,621.0,7.494569152787835
policy,813,284.9354321590816,541.0,6.529085203958484
space,813,284.9354321590816,372.0,4.489500362056481
student,805,282.13163946870935,340.0,4.10330678252474
care,803,281.43069129611627,509.0,6.142891624426744
population,802,281.0802172098197,562.0,6.782524740526188
resident,787,275.8231059153717,558.0,6.7342505430847215
war,778,272.66883913870294,500.0,6.034274680183442
price,776,271.9678909661099,381.0,4.598117306299783
program,776,271.9678909661099,539.0,6.50494810523775
process,775,271.61741687981333,594.0,7.168718320057929
industry,767,268.81362418944104,506.0,6.106685976345643
coverage,764,267.76220193055144,734.0,8.858315230509293
bit,759,266.0098314990688,593.0,7.1566497706975625
supply,759,266.0098314990688,501.0,6.046343229543809
money,751,263.2060388086965,487.0,5.877383538498672
protest,749,262.50509063610343,408.0,4.9239681390296886
correspondent,746,261.45366837721383,684.0,8.254887762490949
statement,734,257.2479793416555,570.0,6.879073135409124
challenge,732,256.5470311690624,574.0,6.927347332850592
office,713,249.88802352942827,540.0,6.517016654598118
climate,710,248.83660127053867,341.0,4.115375331885107
governor,709,248.4861271842421,362.0,4.368814868452811
site,709,248.4861271842421,478.0,5.7687665942553705
hand,705,247.084230839056,564.0,6.806661839246922
building,700,245.33186040757332,400.0,4.827419744146753
street,700,245.33186040757332,505.0,6.094617426985276
rule,698,244.6309122349803,499.0,6.022206130823076
road,696,243.9299640623872,465.0,5.611875452570601
highlight,693,242.8785418034976,691.0,8.339367608013516
investigation,693,242.8785418034976,429.0,5.177407675597393
result,685,240.07474911312534,531.0,6.408399710354816
agency,682,239.02332685423573,468.0,5.6480811006517015
flight,678,237.6214305090496,330.0,3.982621288921072
deal,674,236.21953416386344,397.0,4.791214096065653
information,673,235.86906007756693,482.0,5.817040791696838
talk,663,232.3643192146016,430.0,5.18947622495776
control,661,231.66337104200852,508.0,6.1308230750663775
reason,660,231.312896955712,564.0,6.806661839246922
peace,656,229.91100061052586,417.0,5.03258508327299
charge,653,228.85957835163626,420.0,5.068790731354091
staff,649,227.4576820064501,436.0,5.261887521119961
operation,647,226.75673383385706,485.0,5.853246439777939
facility,640,224.30341522978134,424.0,5.117064928795559
lockdown,638,223.60246705718828,348.0,4.1998551774076756
project,630,220.798674366816,347.0,4.187786628047309
organization,628,220.09772619422293,461.0,5.563601255129134
trial,624,218.69582984903678,322.0,3.886072894038137
call,623,218.34535576274027,466.0,5.623944001930968
activity,623,218.34535576274027,490.0,5.913589186579773
body,621,217.6444075901472,447.0,5.394641564083997
condition,620,217.29393350385067,494.0,5.961863384021241
need,617,216.24251124496107,532.0,6.420468259715182
message,612,214.4901408134784,474.0,5.720492396813903
wave,611,214.13966672718186,426.0,5.141202027516292
threat,611,214.13966672718186,464.0,5.599806903210234
response,605,212.03682220940266,492.0,5.937726285300507
military,603,211.33587403680957,357.0,4.308472121650977
ground,600,210.28445177792,494.0,5.961863384021241
agreement,600,210.28445177792,386.0,4.658460053101617
datum,597,209.2330295190304,423.0,5.1049963794351925
history,595,208.53208134643734,482.0,5.817040791696838
future,591,207.1301850012512,502.0,6.058411778904175
sector,586,205.37781456976853,365.0,4.405020516533913
violence,584,204.67686639717544,385.0,4.646391503741251
detail,582,203.9759182245824,515.0,6.215302920588945
record,580,203.27497005198933,446.0,5.38257301472363
travel,578,202.57402187939627,340.0,4.10330678252474
defense,577,202.22354779309973,385.0,4.646391503741251
province,576,201.8730737068032,342.0,4.127443881245474
decade,572,200.47117736161707,497.0,5.998069032102341
