word,frequency,per_million,doc_freq,doc_percentage
conduct,355,124.41830063526933,317.0,3.8257301472363023
act,352,123.36687837637974,307.0,3.7050446536326334
treat,351,123.0164042900832,284.0,3.4274680183441952
charge,350,122.66593020378666,233.0,2.811972000965484
attend,349,122.31545611749014,290.0,3.499879314506396
promise,349,122.31545611749014,322.0,3.886072894038137
destroy,348,121.9649820311936,269.0,3.2464397779386913
identify,348,121.9649820311936,286.0,3.4516051170649287
control,347,121.61450794489706,296.0,3.5722906106685977
struggle,346,121.26403385860053,306.0,3.692976104272266
impose,346,121.26403385860053,285.0,3.439536567704562
extend,336,117.75929299563519,255.0,3.0774800868935555
injure,336,117.75929299563519,260.0,3.1378228336953895
catch,336,117.75929299563519,303.0,3.6567704561911656
choose,335,117.40881890933866,290.0,3.499879314506396
drop,333,116.70787073674559,291.0,3.5119478638667636
suggest,328,114.95550030526293,284.0,3.4274680183441952
represent,328,114.95550030526293,276.0,3.33091962346126
step,327,114.6050262189664,292.0,3.5240164132271303
fire,327,114.6050262189664,235.0,2.836109099686218
target,326,114.25455213266986,263.0,3.1740284817764906
demand,323,113.20312987378026,276.0,3.33091962346126
rule,323,113.20312987378026,261.0,3.1498913830557562
gather,321,112.5021817011872,286.0,3.4516051170649287
deny,321,112.5021817011872,282.0,3.403330919623461
avoid,317,111.10028535600107,281.0,3.391262370263094
bear,315,110.399337183408,283.0,3.4153994689838285
contain,313,109.69838901081492,280.0,3.3791938209027275
record,311,108.99744083822186,272.0,3.2826454260197924
emerge,311,108.99744083822186,284.0,3.4274680183441952
exist,309,108.2964926656288,268.0,3.2343712285783246
apply,306,107.2450704067392,246.0,2.9688631426502536
investigate,303,106.19364814784959,263.0,3.1740284817764906
order,302,105.84317406155306,262.0,3.161959932416124
write,301,105.49269997525653,234.0,2.8240405503258508
cancel,301,105.49269997525653,220.0,2.6550808592807145
ban,300,105.14222588896,231.0,2.78783490224475
burn,299,104.79175180266347,203.0,2.4499155201544776
threaten,297,104.0908036300704,264.0,3.1860970311368573
declare,296,103.74032954377387,257.0,3.1016171856142893
reopen,293,102.68890728488427,214.0,2.5826695631185133
operate,292,102.33843319858772,253.0,3.0533429881728216
recover,291,101.9879591122912,242.0,2.920588945208786
pull,290,101.63748502599466,241.0,2.908520395848419
maintain,290,101.63748502599466,257.0,3.1016171856142893
recognize,289,101.28701093969813,243.0,2.9326574945691526
encourage,286,100.23558868080853,264.0,3.1860970311368573
cross,285,99.88511459451199,230.0,2.775766352884383
pick,284,99.53464050821546,251.0,3.0292058894520877
attack,282,98.83369233562239,222.0,2.6792179580014484
lift,281,98.48321824932586,237.0,2.8602461984069514
celebrate,279,97.7822700767328,220.0,2.6550808592807145
explain,279,97.7822700767328,247.0,2.9809316920106204
secure,279,97.7822700767328,245.0,2.9567945932898865
accept,274,96.02989964525013,236.0,2.8481776490465847
engage,273,95.6794255589536,241.0,2.908520395848419
gon,272,95.32895147265705,179.0,2.1602703355056723
remove,272,95.32895147265705,232.0,2.799903451605117
suppose,269,94.27752921376747,240.0,2.896451846488052
present,267,93.5765810411744,237.0,2.8602461984069514
evacuate,266,93.22610695487786,191.0,2.3050929278300747
flee,265,92.87563286858133,219.0,2.6430123099203473
promote,265,92.87563286858133,230.0,2.775766352884383
reveal,264,92.52515878228479,235.0,2.836109099686218
form,264,92.52515878228479,221.0,2.667149408641081
defend,264,92.52515878228479,218.0,2.6309437605599806
listen,256,89.72136609191253,230.0,2.775766352884383
refuse,254,89.02041791931947,229.0,2.7636978035240163
back,254,89.02041791931947,224.0,2.7033550567221822
prove,253,88.66994383302293,223.0,2.691286507361815
suspend,252,88.3194697467264,201.0,2.4257784214337437
fill,251,87.96899566042985,232.0,2.799903451605117
shut,248,86.91757340154027,208.0,2.510258266956312
organize,246,86.2166252289472,215.0,2.59473811247888
commit,245,85.86615114265066,217.0,2.618875211199614
deploy,243,85.16520297005759,198.0,2.389572773352643
experience,241,84.46425479746453,214.0,2.5826695631185133
establish,241,84.46425479746453,221.0,2.667149408641081
boost,238,83.41283253857492,211.0,2.546463915037412
train,237,83.0623584522784,188.0,2.2688872797489745
limit,234,82.0109361933888,213.0,2.570601013758146
read,234,82.0109361933888,204.0,2.4619840695148443
point,233,81.66046210709226,219.0,2.6430123099203473
strengthen,232,81.30998802079573,201.0,2.4257784214337437
block,232,81.30998802079573,190.0,2.293024378469708
allege,231,80.9595139344992,189.0,2.2809558291093412
survive,230,80.60903984820266,195.0,2.3533671252715425
connect,229,80.25856576190613,201.0,2.4257784214337437
last,229,80.25856576190613,213.0,2.570601013758146
restore,229,80.25856576190613,194.0,2.3412985759111753
complete,229,80.25856576190613,195.0,2.3533671252715425
enjoy,228,79.9080916756096,197.0,2.3775042239922763
host,225,78.85666941672,178.0,2.1482017861453055
blame,224,78.50619533042347,187.0,2.2568187303886074
resume,224,78.50619533042347,190.0,2.293024378469708
ease,223,78.15572124412694,193.0,2.3292300265508086
link,222,77.8052471578304,198.0,2.389572773352643
realize,222,77.8052471578304,203.0,2.4499155201544776
note,221,77.45477307153386,206.0,2.486121168235578
fear,220,77.10429898523732,200.0,2.4137098720733765
estimate,219,76.75382489894079,201.0,2.4257784214337437
depend,218,76.40335081264426,200.0,2.4137098720733765
stick,217,76.05287672634772,182.0,2.196475983586773
tackle,217,76.05287672634772,197.0,2.3775042239922763
introduce,216,75.7024026400512,190.0,2.293024378469708
schedule,215,75.35192855375468,203.0,2.4499155201544776
track,215,75.35192855375468,195.0,2.3533671252715425
-,214,75.00145446745813,,
