,gram,freq,doc_freq,ttr_s1,norm_ent_s1
960,according to a,94,88,,
961,and they are,94,87,,
962,are going to be,94,89,,
963,as you say,94,85,,
964,away from the,94,86,,
965,more than # people,94,88,,
967,of # million,94,87,,
968,of the covid-19,94,88,,
969,of the first,94,93,,
970,over the next,94,86,,
971,president donald trump,94,85,,
972,say that they,94,82,,
974,than # people,94,88,,
976,the gaza strip,94,59,,
977,the need to,94,88,,
978,to return to,94,88,,
980,and the government,93,93,,
981,for us to,93,90,,
982,is that we,93,91,,
983,member of the,93,82,,
984,much of the,93,91,,
985,now this is,93,92,,
986,on the other hand,93,88,,
987,president xi jinping,93,86,,
989,take a listen,93,81,,
990,the impact of,93,91,,
991,the next few,93,85,,
992,this year the,93,91,,
993,was going to,93,84,,
994,you need to,93,75,,
995,# years and,92,89,,
996,a member of,92,79,,
997,but of course,92,85,,
998,but there is,92,92,,
1000,in recent years,92,90,,
